仕事,会社名,url,場所,給料形態,金額,契約形態,掲載元,掲載日,結果通知期限,電話番号
介護スタッフ／施設介護グループホーム,医療法人社団　徳耀会,https://www.hellowork.careers/%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA%E7%A4%BE%E5%9B%A3%E3%80%80%E5%BE%B3%E8%80%80%E4%BC%9A%E3%81%A7%E3%81%AE%E4%BB%8B%E8%AD%B7%E3%82%B9%E3%82%BF%E3%83%83%E3%83%95%EF%BC%8F%E6%96%BD%E8%A8%AD%E4%BB%8B%E8%AD%B7%E3%82%B0%E3%83%AB%E3%83%BC%E3%83%97%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%B6%B3%E7%AB%8B%E5%8C%BA%E6%9D%B1%E7%B6%BE%E7%80%AC%EF%BC%93%EF%BC%8D%EF%BC%91%EF%BC%93%EF%BC%8D%EF%BC%91%EF%BC%91%EF%BC%89-%2013110-03232021/,東京都足立区東綾瀬３－１３－１１,月給,200000円,正社員,ハローワーク足立,2月10日,,03-3628-1094
＜急募＞事務スタッフ（電話ＰＣ等での受注,ハロージャパン東京　株式会社,https://www.hellowork.careers/%E3%83%8F%E3%83%AD%E3%83%BC%E3%82%B8%E3%83%A3%E3%83%91%E3%83%B3%E6%9D%B1%E4%BA%AC%E3%80%80%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%EF%BC%9C%E6%80%A5%E5%8B%9F%EF%BC%9E%E4%BA%8B%E5%8B%99%E3%82%B9%E3%82%BF%E3%83%83%E3%83%95%EF%BC%88%E9%9B%BB%E8%A9%B1%EF%BC%B0%EF%BC%A3%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%B6%B3%E7%AB%8B%E5%8C%BA%E9%B9%BF%E6%B5%9C%EF%BC%98%E4%B8%81%E7%9B%AE%EF%BC%92%EF%BC%97%EF%BC%8D%EF%BC%94%EF%BC%89-%2013110-03227221/,東京都足立区鹿浜８丁目２７－４,時給,1041円,パート労働者,ハローワーク足立,2月10日,,03-5856-8610
交通誘導警備／足立区古千谷本町,ハロージャパン東京　株式会社,https://www.hellowork.careers/%E3%83%8F%E3%83%AD%E3%83%BC%E3%82%B8%E3%83%A3%E3%83%91%E3%83%B3%E6%9D%B1%E4%BA%AC%E3%80%80%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%E4%BA%A4%E9%80%9A%E8%AA%98%E5%B0%8E%E8%AD%A6%E5%82%99%EF%BC%8F%E8%B6%B3%E7%AB%8B%E5%8C%BA%E5%8F%A4%E5%8D%83%E8%B0%B7%E6%9C%AC%E7%94%BA%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%B6%B3%E7%AB%8B%E5%8C%BA%E5%8F%A4%E5%8D%83%E8%B0%B7%E6%9C%AC%E7%94%BA%EF%BC%91%E4%B8%81%E7%9B%AE%EF%BC%94%EF%BC%8D%EF%BC%99%0A%E3%80%80%E5%BD%93%EF%BC%89-%2013110-03228521/,東京都足立区古千谷本町１丁目４－９,時給,1041円,パート労働者,ハローワーク足立,2月10日,,03-5856-8610
正・准看護師,事業所名非公開,https://www.hellowork.careers/%E4%BA%8B%E6%A5%AD%E6%89%80%E5%90%8D%E9%9D%9E%E5%85%AC%E9%96%8B%E3%81%A7%E3%81%AE%E6%AD%A3%E3%83%BB%E5%87%86%E7%9C%8B%E8%AD%B7%E5%B8%AB%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8C%97%E5%8C%BA%EF%BC%89-%2013100-01518621/,東京都北区,時給,2000円-2500円,パート労働者,ハローワーク王子,2月10日,,
渉外（営業職）　健康診断実施の打合せ,株式会社　アウルズ・ウィング・コーポレーション,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E3%82%A2%E3%82%A6%E3%83%AB%E3%82%BA%E3%83%BB%E3%82%A6%E3%82%A3%E3%83%B3%E3%82%B0%E3%83%BB%E3%82%B3%E3%83%BC%E3%83%9D%E3%83%AC%E3%83%BC%E3%81%A7%E3%81%AE%E6%B8%89%E5%A4%96%EF%BC%88%E5%96%B6%E6%A5%AD%E8%81%B7%EF%BC%89%E3%80%80%E5%81%A5%E5%BA%B7%E8%A8%BA%E6%96%AD%E5%AE%9F%E6%96%BD%E3%81%AE%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8C%97%E5%8C%BA%E5%B2%B8%E7%94%BA%EF%BC%91%EF%BC%8D%EF%BC%91%EF%BC%8D%EF%BC%97%E3%80%80%E7%8E%8B%E5%AD%90%E6%96%B0%E6%89%87%E5%B1%8B%E3%83%93%E3%83%AB%EF%BC%89-%2013100-01513821/,東京都北区岸町１－１－７　王子新扇屋ビル５偕,月給,203000円-253000円,正社員,ハローワーク王子,2月10日,,03-5924-9020
内装工事業（左官・タイル等）,木戸浦興業　株式会社,https://www.hellowork.careers/%E6%9C%A8%E6%88%B8%E6%B5%A6%E8%88%88%E6%A5%AD%E3%80%80%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%E5%86%85%E8%A3%85%E5%B7%A5%E4%BA%8B%E6%A5%AD%EF%BC%88%E5%B7%A6%E5%AE%98%E3%83%BB%E3%82%BF%E3%82%A4%E3%83%AB%E7%AD%89%EF%BC%89%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8C%97%E5%8C%BA%E5%BF%97%E8%8C%82%EF%BC%94%EF%BC%8D%EF%BC%91%EF%BC%97%EF%BC%8D%EF%BC%91%EF%BC%94%0A%E3%80%8E%E5%BD%93%E7%A4%BE%E3%80%80%E9%A7%90%EF%BC%89-%2013100-01517321/,東京都北区志茂４－１７－１４,月給,210000円-440000円,正社員,ハローワーク王子,2月10日,,03-3901-0646
サービス提供責任者／ニチイケアセンター墨,株式会社　ニチイ学館　錦糸町支店,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E3%83%8B%E3%83%81%E3%82%A4%E5%AD%A6%E9%A4%A8%E3%80%80%E9%8C%A6%E7%B3%B8%E7%94%BA%E6%94%AF%E5%BA%97%E3%81%A7%E3%81%AE%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9%E6%8F%90%E4%BE%9B%E8%B2%AC%E4%BB%BB%E8%80%85%EF%BC%8F%E3%83%8B%E3%83%81%E3%82%A4%E3%82%B1%E3%82%A2%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%A2%A8%E7%94%B0%E5%8C%BA%E6%9D%B1%E5%90%91%E5%B3%B6%EF%BC%96%EF%BC%8D%EF%BC%93%EF%BC%92%EF%BC%8D%EF%BC%93%E3%80%80%E5%AE%AE%E5%B7%9D%E3%83%93%E3%83%AB%EF%BC%89-%2013120-02931221/,東京都墨田区東向島６－３２－３　宮川ビル１階,時給,1379円-1419円,パート労働者,ハローワーク墨田,2月10日,,03-3633-9913
サービス提供責任者／ニチイケアセンターこ,株式会社　ニチイ学館　錦糸町支店,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E3%83%8B%E3%83%81%E3%82%A4%E5%AD%A6%E9%A4%A8%E3%80%80%E9%8C%A6%E7%B3%B8%E7%94%BA%E6%94%AF%E5%BA%97%E3%81%A7%E3%81%AE%E3%82%B5%E3%83%BC%E3%83%93%E3%82%B9%E6%8F%90%E4%BE%9B%E8%B2%AC%E4%BB%BB%E8%80%85%EF%BC%8F%E3%83%8B%E3%83%81%E3%82%A4%E3%82%B1%E3%82%A2%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%88%B8%E5%B7%9D%E5%8C%BA%E5%8D%97%E5%B0%8F%E5%B2%A9%EF%BC%97%EF%BC%8D%EF%BC%93%EF%BC%91%EF%BC%8D%EF%BC%91%EF%BC%94%E3%80%80%E7%95%91%E5%B2%A1%EF%BC%89-%2013120-02930821/,東京都江戸川区南小岩７－３１－１４　畑岡ハイツ２０２,時給,1379円-1419円,パート労働者,ハローワーク墨田,2月10日,,03-3633-9913
建設鍵管理／内装施工管理,株式会社　トーヨーコー,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E3%83%88%E3%83%BC%E3%83%A8%E3%83%BC%E3%82%B3%E3%83%BC%E3%81%A7%E3%81%AE%E5%BB%BA%E8%A8%AD%E9%8D%B5%E7%AE%A1%E7%90%86%EF%BC%8F%E5%86%85%E8%A3%85%E6%96%BD%E5%B7%A5%E7%AE%A1%E7%90%86%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%A2%A8%E7%94%B0%E5%8C%BA%E5%90%BE%E5%A6%BB%E6%A9%8B%EF%BC%93%EF%BC%8D%EF%BC%93%EF%BC%8D%EF%BC%92%E3%80%80%E5%90%BE%E5%A6%BB%E6%A9%8B%E3%82%A2%E3%83%89%EF%BC%89-%2013120-02970721/,東京都墨田区吾妻橋３－３－２　吾妻橋アドバンスビル４Ｆ,月給,206000円-250000円,正社員,ハローワーク墨田,2月10日,,03-3626-5231
一般事務職・受付職【巡回健診部】,医療法人社団　優人会　東西線メディカルクリニック,https://www.hellowork.careers/%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA%E7%A4%BE%E5%9B%A3%E3%80%80%E5%84%AA%E4%BA%BA%E4%BC%9A%E3%80%80%E6%9D%B1%E8%A5%BF%E7%B7%9A%E3%83%A1%E3%83%87%E3%82%A3%E3%82%AB%E3%83%AB%E3%82%AF%E3%81%A7%E3%81%AE%E4%B8%80%E8%88%AC%E4%BA%8B%E5%8B%99%E8%81%B7%E3%83%BB%E5%8F%97%E4%BB%98%E8%81%B7%E3%80%90%E5%B7%A1%E5%9B%9E%E5%81%A5%E8%A8%BA%E9%83%A8%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%9D%B1%E5%8C%BA%E8%B6%8A%E4%B8%AD%E5%B3%B6%EF%BC%91%EF%BC%8D%EF%BC%92%EF%BC%8D%EF%BC%97%E3%82%A2%E3%82%B9%E3%83%9F%E3%83%93%E3%83%AB%EF%BC%93%EF%BC%89-%2013130-04092221/,東京都江東区越中島１－２－７アスミビル３Ｆ,月給,180000円-200000円,正社員,ハローワーク木場,2月10日,,03-6666-2338
ドライバー（４トン以上）兼クレーンオペレ,松丸工事運輸株式会社,https://www.hellowork.careers/%E6%9D%BE%E4%B8%B8%E5%B7%A5%E4%BA%8B%E9%81%8B%E8%BC%B8%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%E3%83%89%E3%83%A9%E3%82%A4%E3%83%90%E3%83%BC%EF%BC%88%EF%BC%94%E3%83%88%E3%83%B3%E4%BB%A5%E4%B8%8A%EF%BC%89%E5%85%BC%E3%82%AF%E3%83%AC%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%9D%B1%E5%8C%BA%E6%9D%B1%E7%A0%82%EF%BC%93%EF%BC%8D%EF%BC%92%EF%BC%96%EF%BC%8D%EF%BC%91%EF%BC%97%EF%BC%89-%2013130-04020321/,東京都江東区東砂３－２６－１７,月給,232084円-251424円,正社員,ハローワーク木場,2月10日,,03-3646-0538
一般事務,事業所名非公開,https://www.hellowork.careers/%E4%BA%8B%E6%A5%AD%E6%89%80%E5%90%8D%E9%9D%9E%E5%85%AC%E9%96%8B%E3%81%A7%E3%81%AE%E4%B8%80%E8%88%AC%E4%BA%8B%E5%8B%99%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%9D%B1%E5%8C%BA%EF%BC%89-%2013130-04036521/,東京都江東区,月給,194000円-210000円,正社員,ハローワーク木場,2月10日,,
館内清掃員（北区上中里）,事業所名非公開,https://www.hellowork.careers/%E4%BA%8B%E6%A5%AD%E6%89%80%E5%90%8D%E9%9D%9E%E5%85%AC%E9%96%8B%E3%81%A7%E3%81%AE%E9%A4%A8%E5%86%85%E6%B8%85%E6%8E%83%E5%93%A1%EF%BC%88%E5%8C%97%E5%8C%BA%E4%B8%8A%E4%B8%AD%E9%87%8C%EF%BC%89%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%8C%97%E5%8C%BA%EF%BC%89-%2013130-04037421/,東京都北区,時給,1200円,パート労働者,ハローワーク木場,2月10日,,
医療機器テクニカルサポート・エンジニア,事業所名非公開,https://www.hellowork.careers/%E4%BA%8B%E6%A5%AD%E6%89%80%E5%90%8D%E9%9D%9E%E5%85%AC%E9%96%8B%E3%81%A7%E3%81%AE%E5%8C%BB%E7%99%82%E6%A9%9F%E5%99%A8%E3%83%86%E3%82%AF%E3%83%8B%E3%82%AB%E3%83%AB%E3%82%B5%E3%83%9D%E3%83%BC%E3%83%88%E3%83%BB%E3%82%A8%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%88%B8%E5%B7%9D%E5%8C%BA%EF%BC%89-%2013130-04033721/,東京都江戸川区,月給,210000円-300000円,正社員,ハローワーク木場,2月10日,,
交通警備員＜墨田区立川＞,株式会社　ジェイエヌティ,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E3%82%B8%E3%82%A7%E3%82%A4%E3%82%A8%E3%83%8C%E3%83%86%E3%82%A3%E3%81%A7%E3%81%AE%E4%BA%A4%E9%80%9A%E8%AD%A6%E5%82%99%E5%93%A1%EF%BC%9C%E5%A2%A8%E7%94%B0%E5%8C%BA%E7%AB%8B%E5%B7%9D%EF%BC%9E%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%A2%A8%E7%94%B0%E5%8C%BA%E7%AB%8B%E5%B7%9D%EF%BC%94%EF%BC%8D%EF%BC%91%EF%BC%99%EF%BC%8D%EF%BC%91%EF%BC%91%EF%BC%89-%2013130-04066021/,東京都墨田区立川４－１９－１１,月給,206000円-236000円,正社員,ハローワーク木場,2月10日,,03-6909-8637
交通警備員＜足立区花畑＞,株式会社　ジェイエヌティ,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E3%82%B8%E3%82%A7%E3%82%A4%E3%82%A8%E3%83%8C%E3%83%86%E3%82%A3%E3%81%A7%E3%81%AE%E4%BA%A4%E9%80%9A%E8%AD%A6%E5%82%99%E5%93%A1%EF%BC%9C%E8%B6%B3%E7%AB%8B%E5%8C%BA%E8%8A%B1%E7%95%91%EF%BC%9E%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E8%B6%B3%E7%AB%8B%E5%8C%BA%E8%8A%B1%E7%95%91%EF%BC%93%E4%B8%81%E7%9B%AE%EF%BC%93%EF%BC%95%0A%EF%BC%B2%EF%BC%92%E7%B6%BE%E7%80%AC%E5%B7%9D%E5%8F%B3%EF%BC%89-%2013130-04065121/,東京都足立区花畑３丁目３５,月給,206000円-236000円,正社員,ハローワーク木場,2月10日,,03-6909-8637
【３／７ミニ就職面接会・説明会】タクシー,三陽自動車交通　株式会社,https://www.hellowork.careers/%E4%B8%89%E9%99%BD%E8%87%AA%E5%8B%95%E8%BB%8A%E4%BA%A4%E9%80%9A%E3%80%80%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%81%A7%E3%81%AE%E3%80%90%EF%BC%93%EF%BC%8F%EF%BC%97%E3%83%9F%E3%83%8B%E5%B0%B1%E8%81%B7%E9%9D%A2%E6%8E%A5%E4%BC%9A%E3%83%BB%E8%AA%AC%E6%98%8E%E4%BC%9A%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%9D%B1%E5%8C%BA%E5%86%AC%E6%9C%A8%EF%BC%91%EF%BC%96%EF%BC%8D%EF%BC%91%EF%BC%92%EF%BC%89-%2013130-04030921/,東京都江東区冬木１６－１２,月給,178440円,正社員,ハローワーク木場,2月10日,,03-3643-8627
交通警備員＜墨田区立川＞,株式会社　ジェイエヌティ,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E3%82%B8%E3%82%A7%E3%82%A4%E3%82%A8%E3%83%8C%E3%83%86%E3%82%A3%E3%81%A7%E3%81%AE%E4%BA%A4%E9%80%9A%E8%AD%A6%E5%82%99%E5%93%A1%EF%BC%9C%E5%A2%A8%E7%94%B0%E5%8C%BA%E7%AB%8B%E5%B7%9D%EF%BC%9E%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%A2%A8%E7%94%B0%E5%8C%BA%E7%AB%8B%E5%B7%9D%EF%BC%94%EF%BC%8D%EF%BC%91%EF%BC%99%EF%BC%8D%EF%BC%91%EF%BC%91%EF%BC%89-%2013130-04067721/,東京都墨田区立川４－１９－１１,月給,206000円-236000円,正社員,ハローワーク木場,2月10日,,03-6909-8637
【急募】看護師／パート〈江戸川区〉（仁愛,医療法人社団　俊爽会　仁愛堂クリニック,https://www.hellowork.careers/%E5%8C%BB%E7%99%82%E6%B3%95%E4%BA%BA%E7%A4%BE%E5%9B%A3%E3%80%80%E4%BF%8A%E7%88%BD%E4%BC%9A%E3%80%80%E4%BB%81%E6%84%9B%E5%A0%82%E3%82%AF%E3%83%AA%E3%83%8B%E3%83%83%E3%82%AF%E3%81%A7%E3%81%AE%E3%80%90%E6%80%A5%E5%8B%9F%E3%80%91%E7%9C%8B%E8%AD%B7%E5%B8%AB%EF%BC%8F%E3%83%91%E3%83%BC%E3%83%88%E3%80%88%E6%B1%9F%E6%88%B8%E5%B7%9D%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B1%9F%E6%88%B8%E5%B7%9D%E5%8C%BA%E5%B9%B3%E4%BA%95%EF%BC%96%EF%BC%8D%EF%BC%91%EF%BC%95%EF%BC%8D%EF%BC%91%EF%BC%94%0A%E4%BB%81%E6%84%9B%E5%A0%82%EF%BC%89-%2013130-04064921/,東京都江戸川区平井６－１５－１４,時給,1800円-2000円,パート労働者,ハローワーク木場,2月10日,,03-3613-5548
交通警備員＜大田区萩中＞,株式会社　ジェイエヌティ,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E3%82%B8%E3%82%A7%E3%82%A4%E3%82%A8%E3%83%8C%E3%83%86%E3%82%A3%E3%81%A7%E3%81%AE%E4%BA%A4%E9%80%9A%E8%AD%A6%E5%82%99%E5%93%A1%EF%BC%9C%E5%A4%A7%E7%94%B0%E5%8C%BA%E8%90%A9%E4%B8%AD%EF%BC%9E%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E5%A4%A7%E7%94%B0%E5%8C%BA%E8%90%A9%E4%B8%AD%EF%BC%93%E4%B8%81%E7%9B%AE%EF%BC%91%EF%BC%92%EF%BC%8D%EF%BC%91%EF%BC%93%0A%E8%90%A9%E4%B8%AD%E3%83%BB%EF%BC%89-%2013130-04061421/,東京都大田区萩中３丁目１２－１３,月給,206000円-236000円,正社員,ハローワーク木場,2月10日,,03-6909-8637
交通警備員＜練馬区上石神井＞,株式会社　ジェイエヌティ,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E3%82%B8%E3%82%A7%E3%82%A4%E3%82%A8%E3%83%8C%E3%83%86%E3%82%A3%E3%81%A7%E3%81%AE%E4%BA%A4%E9%80%9A%E8%AD%A6%E5%82%99%E5%93%A1%EF%BC%9C%E7%B7%B4%E9%A6%AC%E5%8C%BA%E4%B8%8A%E7%9F%B3%E7%A5%9E%E4%BA%95%EF%BC%9E%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E7%B7%B4%E9%A6%AC%E5%8C%BA%E4%B8%8A%E7%9F%B3%E7%A5%9E%E4%BA%95%EF%BC%92%E4%B8%81%E7%9B%AE%EF%BC%94%EF%BC%8D%EF%BC%91%EF%BC%93%EF%BC%89-%2013130-04063621/,東京都練馬区上石神井２丁目４－１３,月給,206000円-236000円,正社員,ハローワーク木場,2月10日,,03-6909-8637
交通警備員＜世田谷区上野毛＞,株式会社　ジェイエヌティ,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E3%82%B8%E3%82%A7%E3%82%A4%E3%82%A8%E3%83%8C%E3%83%86%E3%82%A3%E3%81%A7%E3%81%AE%E4%BA%A4%E9%80%9A%E8%AD%A6%E5%82%99%E5%93%A1%EF%BC%9C%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E4%B8%8A%E9%87%8E%E6%AF%9B%EF%BC%9E%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E4%B8%96%E7%94%B0%E8%B0%B7%E5%8C%BA%E4%B8%8A%E9%87%8E%E6%AF%9B%EF%BC%91%EF%BC%8D%EF%BC%93%EF%BC%8D%EF%BC%92%EF%BC%95%EF%BC%89-%2013130-04059721/,東京都世田谷区上野毛１－３－２５,月給,206000円-236000円,正社員,ハローワーク木場,2月10日,,03-6909-8637
交通警備員＜渋谷区猿楽町＞,株式会社　ジェイエヌティ,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E3%82%B8%E3%82%A7%E3%82%A4%E3%82%A8%E3%83%8C%E3%83%86%E3%82%A3%E3%81%A7%E3%81%AE%E4%BA%A4%E9%80%9A%E8%AD%A6%E5%82%99%E5%93%A1%EF%BC%9C%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%8C%BF%E6%A5%BD%E7%94%BA%EF%BC%9E%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%B8%8B%E8%B0%B7%E5%8C%BA%E7%8C%BF%E6%A5%BD%E7%94%BA%EF%BC%91%EF%BC%99%EF%BC%89-%2013130-04058021/,東京都渋谷区猿楽町１９,月給,206000円-236000円,正社員,ハローワーク木場,2月10日,,03-6909-8637
交通警備員＜文京区小石川＞,株式会社　ジェイエヌティ,https://www.hellowork.careers/%E6%A0%AA%E5%BC%8F%E4%BC%9A%E7%A4%BE%E3%80%80%E3%82%B8%E3%82%A7%E3%82%A4%E3%82%A8%E3%83%8C%E3%83%86%E3%82%A3%E3%81%A7%E3%81%AE%E4%BA%A4%E9%80%9A%E8%AD%A6%E5%82%99%E5%93%A1%EF%BC%9C%E6%96%87%E4%BA%AC%E5%8C%BA%E5%B0%8F%E7%9F%B3%E5%B7%9D%EF%BC%9E%E3%81%AE%E3%83%8F%E3%83%AD%E3%83%BC%E3%83%AF%E3%83%BC%E3%82%AF%E6%B1%82%E4%BA%BA%E6%83%85%E5%A0%B1%EF%BC%88%E6%9D%B1%E4%BA%AC%E9%83%BD%E6%96%87%E4%BA%AC%E5%8C%BA%E5%B0%8F%E7%9F%B3%E5%B7%9D%EF%BC%92%E4%B8%81%E7%9B%AE%EF%BC%92%EF%BC%94%EF%BC%8D%EF%BC%95%EF%BC%89-%2013130-04062321/,東京都文京区小石川２丁目２４－５,月給,206000円-236000円,正社員,ハローワーク木場,2月10日,,03-6909-8637
